DOI,n_samples,MAPE_reg,MedAPE_reg,MAPE_int,MedAPE_int
https://doi.org/10.1016/j.chroma.2009.04.021,5,7.597321745665564,6.966591448448334,4.304819149615157,5.482784505417556
https://doi.org/10.1016/j.chroma.2003.11.099,7,11.263427150634326,9.338203430175781,10.836314998073709,12.428247485841194
https://doi.org/10.1007/s11829-016-9435-y,7,2.080842807636365,1.5654265391449225,1.585463762085176,1.219409128758941
https://doi.org/10.1016/j.chroma.2004.11.030,6,11.04247518624946,8.641076276487214,12.640648221117148,10.479273013858537
https://doi.org/10.1186/s12906-016-1041-0,5,14.401597345553283,10.444090966464707,14.244507402140602,13.038689875101749
https://doi.org/10.1016/s0031-9422(00)81116-4,8,18.698789790345984,10.328138465512732,17.33918049711697,18.985644231125438
https://doi.org/10.1016/S0021-9673(01)95521-9,23,22.16797516394871,14.714164508461405,16.738137021064762,14.882596044236188
https://doi.org/10.1007/s10068-013-0228-0,5,11.543949616394663,3.261868158976236,14.337407496117734,6.389086711203838
https://doi.org/10.1016/S0021-9673(00)00256-9,5,4.08910789875069,3.712229295210405,5.603284172280173,6.037060893714701
https://doi.org/10.1021/jf000661f,8,3.307648050544771,3.5760005684786065,1.8827068505063442,1.6598307712726363
https://doi.org/10.1007/s13765-017-0302-z,6,9.920997720006017,8.952691582438055,5.490485884990451,5.781258864841333
https://doi.org/10.1016/S0021-9673(96)00826-6,5,3.21238955160729,4.331387971576891,4.521258182756529,4.384687241206375
https://doi.org/10.1002/jssc.200900588,5,6.974366793230844,7.293012665539253,9.50732339243106,8.801767203060542
https://doi.org/10.1007/bf02261517,5,3.4209539154429494,4.825388590494792,2.0327028022763716,2.1658808568640353
