DOI,n_samples,MAPE_reg,MedAPE_reg,MAPE_int,MedAPE_int
https://doi.org/10.1016/j.chroma.2009.04.021,5,6.1253778708466635,5.248489020507909,3.196990917035842,3.908073960572474
https://doi.org/10.1007/bf02261517,5,1.9169102923835402,2.3135537645052535,1.1503873443731294,0.9785041973062883
https://doi.org/10.1007/s10068-013-0228-0,5,12.640679691636139,5.505630745665173,14.144953753493853,4.477368936085877
https://doi.org/10.1016/S0021-9673(00)00256-9,5,3.9652917399825376,3.2961473469327713,5.874460576273431,7.556049342524837
https://doi.org/10.1186/s12906-016-1041-0,5,12.917759121678676,9.443075797599787,13.396409300446463,13.471798616061687
https://doi.org/10.1016/s0031-9422(00)81116-4,8,14.681997077106908,9.30864746933092,9.610541903786949,7.5696566133620244
https://doi.org/10.1007/s13765-017-0302-z,6,10.887481425451451,7.725586994494519,7.670132168732491,6.259612303609085
https://doi.org/10.1016/j.chroma.2004.11.030,6,10.45016323506135,9.488910350803364,13.117857495281221,12.43613368758151
https://doi.org/10.1021/jf000661f,8,2.977329629756586,2.3637228709256624,1.9917533428273226,2.00651411234113
https://doi.org/10.1016/S0021-9673(01)95521-9,23,21.88033386356154,15.72021153013425,12.523759557998169,7.821376180887309
https://doi.org/10.1007/s11829-016-9435-y,7,1.603069652800905,1.9222424086770562,2.3571932666995523,2.378316210864558
https://doi.org/10.1016/j.chroma.2003.11.099,7,14.762246991078626,13.897852604529405,12.672390001502137,13.124975311137414
https://doi.org/10.1002/jssc.200900588,5,7.2503281158007455,8.636145454656804,10.191411818684532,9.996680654968657
https://doi.org/10.1016/S0021-9673(96)00826-6,5,5.847716549994727,3.5072392698372035,3.910563372206403,4.477707747046037
